trialnr	trialtype	endpos	latency	correct
1	left	(954, 540)	93.2941	1
2	right	(880, 578)	925.2756	0
3	left	(900, 565)	2.6776	1
4	left	(576, 542)	1266.9163	1
5	right	(1545, 538)	224.769	1
6	right	(1583, 564)	256.7288	1
7	right	(1770, 593)	249.7143	1
8	left	(107, 400)	214.7551	1
9	right	(1858, 594)	255.5912	1
10	right	(1676, 581)	256.5331	1
11	left	(311, 471)	257.0628	1
12	left	(346, 522)	245.9646	1
13	right	(1538, 564)	251.6419	1
14	right	(1361, 556)	260.617	1
15	left	(587, 550)	207.6974	1
16	left	(651, 564)	175.0287	1
17	right	(1295, 554)	271.5874	1
18	left	(576, 533)	238.136	1
19	right	(1393, 560)	231.9231	1
20	right	(1233, 529)	228.8522	1
